Æò±Õ±â¿Â,Æò±Õ½Àµµ,Æò±ÕÇ³¼Ó,Ã¼°¨¿Âµµ,Æò±ÕÀü¿î·®,½Ã±º±¸,¿äÀÏ,Diff,SUM
6,69.19999695,0.400000006,7.298526243,8.5,1,7,5.100000143,1303
6.199999809,70.90000153,0.600000024,6.914537696,8.5,2,7,5.099999905,876
5.699999809,73.90000153,0.600000024,6.38576144,8.5,3,7,5.099999905,742
7.199999809,71.5,1.299999952,6.796737843,8.5,4,7,4.199999809,1699
7.400000095,58.5,1.100000024,7.282334252,8.5,5,7,2.80000019,1232
6.300000191,71.30000305,1,6.227242867,8.5,6,7,5.000000239,350
7.199999809,68.30000305,1.700000048,6.35602806,8.5,7,7,3.300000191,691
7.400000095,64.69999695,1.799999952,6.487270153,8.5,8,7,3.600000382,432
5.699999809,73.59999847,0.400000006,6.98913868,8.5,9,7,5.599999905,962
9,81.19999695,0,18.6325,8.5,10,7,62.49999845,339
5.699999809,71.69999695,1.299999952,5.128315781,8.5,11,7,5.700000286,535
6.900000095,71.09999847,1.5,6.22691924,8.5,12,7,4.899999619,490
6.800000191,72,1.100000024,6.622386313,8.5,13,7,4.700000286,686
6.5,66.69999695,2.5,4.875905623,8.5,14,7,3.200000286,793
7.5,66.09999847,1.299999952,7.130422467,8.5,15,7,4.000000476,971
5.900000095,71.90000153,1.100000024,5.632464142,8.5,16,7,5.700000048,617
5.800000191,71.30000305,0.800000012,6.042567242,8.5,17,7,4.799999952,749
5.800000191,70.19999695,0.600000024,6.491517095,8.5,18,7,6.199999571,1155
7.300000191,69.40000153,1.399999976,6.788546381,8.5,19,7,4.499999524,406
7.300000191,69.69999695,1.700000048,6.469308742,8.5,20,7,4.399999618,1104
6.400000095,46.40000153,1.200000048,6.039782063,8.5,21,7,5.000000476,721
6.400000095,70,2.299999952,4.912165152,8.5,22,7,3.899999619,921
6.800000191,68,0.400000006,8.123559414,8.5,23,7,4.599999428,459
5.900000095,71.59999847,1.100000024,5.632464142,8.5,24,7,4.799999952,584
7.699999809,69,0.5,8.752713286,6.9,1,1,7.099999905,964
8.199999809,71.59999847,0.699999988,8.816474829,6.9,2,1,7.999999525,543
7.900000095,71.59999847,0.699999988,8.496086182,6.9,3,1,6.699999811,388
8.699999809,70.59999847,2.099999905,7.72051861,6.9,4,1,6.200000285,904
8.5,61.79999924,0.600000024,9.346908676,6.9,5,1,6.200000285,605
8.399999619,68.80000305,1.200000048,8.252414897,6.9,6,1,6.80000019,213
8.5,70.19999695,2.5,7.203484235,6.9,7,1,6.000000001,450
8.899999619,67.5,1.299999952,8.687615967,6.9,8,1,6.599999905,241
8,73.69999695,0.300000012,9.726812586,6.9,9,1,7.699999811,548
8,70.19999695,1.799999952,7.169639615,6.9,11,1,7.400000095,327
8.5,71.09999847,1.799999952,7.738280923,6.9,12,1,6.60000038,349
8.5,69,1.299999952,8.242703842,6.9,13,1,5.800000189,489
8.199999809,64.40000153,3.799999952,6.122639819,6.9,14,1,5.499999525,579
8.800000191,69.19999695,1.399999976,8.465348437,6.9,15,1,6.5,590
8,69,1.100000024,7.942282191,6.9,16,1,8.700000285,329
8,69.5,0.800000012,8.412358529,6.9,17,1,6.500000001,523
7.900000095,72.90000153,0.5,8.961822792,6.9,18,1,8.499999999,713
